Country,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
0,19.3,2.1,11.4,1.0,10.1,19.1,35227.21
0,21.2,4.8,13.6,1.0,12.2,24.1,35174.7
0,21.1,5.9,14.1,1.0,10.4,19.4,35121.59
0,20.3,9.3,14.2,1.0,23.9,49.0,35058.27
0,15.8,4.6,10.3,1.0,24.5,47.5,34976.42
0,19.1,-0.3,10.4,1.0,10.5,19.8,34895.81
0,20.7,6.5,13.6,1.0,12.9,29.2,34816.56
0,19.3,5.9,13.0,1.0,10.1,21.2,34738.78
0,17.5,5.3,11.7,1.0,12.7,24.8,34662.59
0,15.9,4.7,10.7,0.7,10.1,16.9,34588.08
0,17.3,5.3,11.5,1.0,13.3,24.5,34515.39
0,18.2,5.9,11.9,1.0,13.7,29.5,34444.63
0,17.1,4.5,11.2,1.0,9.2,22.7,33720.12
0,16.2,2.8,10.1,1.0,13.7,30.2,34309.37
0,15.1,1.0,8.6,1.0,9.1,18.0,34245.11
0,16.8,4.1,10.1,1.0,14.0,29.9,34183.25
0,16.9,2.4,9.4,1.0,19.5,39.2,34123.93
0,17.4,-0.3,9.9,1.0,9.7,22.7,34067.27
0,18.9,5.2,12.1,1.0,13.4,25.9,34013.39
0,20.0,6.4,13.0,1.0,11.7,21.2,33962.41
0,19.8,6.3,12.9,1.0,15.2,31.7,33914.5
0,18.9,6.8,12.0,1.0,16.0,34.2,33869.25
0,17.9,6.1,11.9,1.0,12.2,26.6,33826.3
0,17.8,8.1,12.9,1.0,20.1,40.0,33785.66
0,15.4,1.7,8.9,1.0,11.8,24.8,33747.43
0,17.0,3.9,10.7,1.0,13.8,29.5,33711.61
0,18.3,3.8,11.3,1.0,13.8,29.5,33678.29
0,17.0,3.4,11.0,1.0,9.7,21.2,33647.48
0,17.7,6.1,11.9,1.0,13.7,24.5,33619.28
0,18.9,4.7,12.3,1.0,11.4,21.6,33521.57
0,18.1,5.4,12.5,1.0,8.8,17.6,33520.68
0,16.5,6.7,12.1,1.0,10.6,22.7,29981.85
0,15.1,7.1,11.3,0.9,18.0,33.8,15148.77
0,14.6,6.8,10.9,0.9,15.9,32.0,32302.62
0,14.1,1.3,7.1,1.0,16.9,34.9,33435.89
0,15.5,-2.6,7.1,1.0,9.7,17.3,33351.33
0,16.8,-1.7,7.9,1.0,10.5,17.3,33362.6
0,18.1,0.1,9.1,1.0,10.1,15.1,33279.38
0,18.6,1.4,10.2,1.0,9.7,15.5,33092.23
0,19.0,2.0,11.0,1.0,9.7,18.7,33168.32
0,17.8,0.7,9.8,1.0,9.7,16.9,33157.89
0,19.3,2.7,11.4,1.0,10.8,24.1,32982.89
0,18.1,3.0,11.0,1.0,14.0,27.4,32975.82
0,16.3,3.1,10.1,1.0,17.8,34.2,32889.18
0,13.4,1.7,7.9,1.0,12.0,26.6,32497.95
0,13.8,-0.6,7.0,1.0,10.5,18.7,32574.96
0,14.2,-0.8,7.3,1.0,10.8,21.2,32873.53
0,10.5,2.4,6.1,1.8,23.7,46.4,28437.93
0,14.7,1.4,8.3,0.1,16.9,37.1,32871.29
0,13.5,-0.3,7.3,1.0,9.0,20.9,32530.22
0,14.0,-0.4,7.2,1.0,13.0,28.8,32994.47
0,13.3,-1.6,6.3,1.0,8.9,18.0,33050.56
0,13.5,1.7,7.5,1.0,10.9,22.0,33057.43
0,13.8,0.8,7.6,1.0,8.4,17.6,33053.18
0,12.5,0.8,6.4,1.0,17.4,37.4,31329.81
0,12.1,-2.7,5.6,1.0,9.7,22.7,33277.66
0,12.4,-2.6,6.0,1.0,9.0,18.0,33293.45
0,13.7,-1.8,7.0,1.0,9.0,18.7,33164.11
0,13.3,-0.6,7.4,1.0,9.0,14.8,32788.26
0,14.5,-1.3,7.6,1.0,9.3,19.1,33508.09
0,14.7,0.5,8.2,1.0,9.2,21.2,33840.63
0,15.5,-1.5,7.9,1.0,9.5,22.3,33956.34
